"","desokod","upplåtelseform","år","Antal"
"100","0319C1020","uppgift saknas",2024,0
"101","0319C1030","hyresrätt",2024,286
"102","0319C1030","bostadsrätt",2024,151
"103","0319C1030","äganderätt",2024,576
"104","0319C1030","uppgift saknas",2024,0
"105","Älvkarleby (Skutskär centrala-Skutskär nordvästra)","hyresrätt",2024,825
"106","Älvkarleby (Skutskär centrala-Skutskär nordvästra)","bostadsrätt",2024,66
"107","Älvkarleby (Skutskär centrala-Skutskär nordvästra)","äganderätt",2024,427
"108","Älvkarleby (Skutskär centrala-Skutskär nordvästra)","uppgift saknas",2024,0
"109","Älvkarleby (Skutskär nordöstra)","hyresrätt",2024,286
"110","Älvkarleby (Skutskär nordöstra)","bostadsrätt",2024,151
"111","Älvkarleby (Skutskär nordöstra)","äganderätt",2024,576
"112","Älvkarleby (Skutskär nordöstra)","uppgift saknas",2024,0
"113","Älvkarleby (Skutskär södra)","hyresrätt",2024,139
"114","Älvkarleby (Skutskär södra)","bostadsrätt",2024,6
"115","Älvkarleby (Skutskär södra)","äganderätt",2024,690
"116","Älvkarleby (Skutskär södra)","uppgift saknas",2024,0
"117","Älvkarleby (Älvkarleby)","hyresrätt",2024,246
"118","Älvkarleby (Älvkarleby)","bostadsrätt",2024,48
"119","Älvkarleby (Älvkarleby)","äganderätt",2024,509
"120","Älvkarleby (Älvkarleby)","uppgift saknas",2024,1
"121","Älvkarleby (Älvkarlebys omland)","hyresrätt",2024,131
"122","Älvkarleby (Älvkarlebys omland)","bostadsrätt",2024,20
"123","Älvkarleby (Älvkarlebys omland)","äganderätt",2024,626
"124","Älvkarleby (Älvkarlebys omland)","uppgift saknas",2024,1
"125","0330A0010","hyresrätt",2024,56
"126","0330A0010","bostadsrätt",2024,0
"127","0330A0010","äganderätt",2024,618
"128","0330A0010","uppgift saknas",2024,2
"129","0330A0020","hyresrätt",2024,41
"130","0330A0020","bostadsrätt",2024,0
"131","0330A0020","äganderätt",2024,865
"132","0330A0020","uppgift saknas",2024,10
"133","0330A0030","hyresrätt",2024,8
"134","0330A0030","bostadsrätt",2024,0
"135","0330A0030","äganderätt",2024,466
"136","0330A0030","uppgift saknas",2024,2
"137","0330C1010","hyresrätt",2024,415
"138","0330C1010","bostadsrätt",2024,237
"139","0330C1010","äganderätt",2024,242
"140","0330C1010","uppgift saknas",2024,9
"141","0330C1020","hyresrätt",2024,769
"142","0330C1020","bostadsrätt",2024,501
"143","0330C1020","äganderätt",2024,404
"144","0330C1020","uppgift saknas",2024,9
"145","0330C1031","hyresrätt",2024,0
"146","0330C1031","bostadsrätt",2024,420
"147","0330C1031","äganderätt",2024,142
"148","0330C1031","uppgift saknas",2024,0
"149","0330C1032","hyresrätt",2024,880
"150","0330C1032","bostadsrätt",2024,519
"151","0330C1032","äganderätt",2024,51
"152","0330C1032","uppgift saknas",2024,0
"153","0330C1040","hyresrätt",2024,26
"154","0330C1040","bostadsrätt",2024,164
"155","0330C1040","äganderätt",2024,492
"156","0330C1040","uppgift saknas",2024,0
"157","0330C1050","hyresrätt",2024,2
"158","0330C1050","bostadsrätt",2024,206
"159","0330C1050","äganderätt",2024,241
"160","0330C1050","uppgift saknas",2024,0
"161","0330C1060","hyresrätt",2024,121
"162","0330C1060","bostadsrätt",2024,40
"163","0330C1060","äganderätt",2024,344
"164","0330C1060","uppgift saknas",2024,0
"165","0330C1070","hyresrätt",2024,134
"166","0330C1070","bostadsrätt",2024,309
"167","0330C1070","äganderätt",2024,355
"168","0330C1070","uppgift saknas",2024,0
"169","Knivsta (Alsike norra)","hyresrätt",2024,134
"170","Knivsta (Alsike norra)","bostadsrätt",2024,309
"171","Knivsta (Alsike norra)","äganderätt",2024,355
"172","Knivsta (Alsike norra)","uppgift saknas",2024,0
"173","Knivsta (Alsike östra)","hyresrätt",2024,123
"174","Knivsta (Alsike östra)","bostadsrätt",2024,246
"175","Knivsta (Alsike östra)","äganderätt",2024,585
"176","Knivsta (Alsike östra)","uppgift saknas",2024,0
"177","Knivsta (Knivsta centrala)","hyresrätt",2024,880
