"region","lägenhetstyp","år","Lägenheter i flerbostadshus, allmännyttiga","Lediga lägenheter i flerbostadshus, allmännyttiga","Andel lediga lägenheter i flerbostadshus, allmännyttiga"
"Uppsala","3 rum och kök","2024",3656,2,0.1
"Uppsala","4 rum och kök","2019",1656,1,0.1
"Uppsala","4 rum och kök","2021",1685,1,0.1
"Uppsala","4 rum och kök","2024",1665,1,0.1
"Uppsala","5 eller flera rum och kök","2019",423,0,0
"Uppsala","5 eller flera rum och kök","2021",435,1,0.2
"Uppsala","5 eller flera rum och kök","2024",429,0,0
"Uppsala","övriga","2019",973,0,0
"Uppsala","övriga","2021",977,0,0
"Uppsala","övriga","2024",977,0,0
"Uppsala","totalt","2019",12372,5,0
"Uppsala","totalt","2021",12545,14,0.1
"Uppsala","totalt","2024",12258,6,0
"Enköping","1 rum och kök","2019",366,2,0.5
"Enköping","1 rum och kök","2021",366,2,0.5
"Enköping","1 rum och kök","2024",366,11,3
"Enköping","2 rum och kök","2019",1221,4,0.3
"Enköping","2 rum och kök","2021",1221,2,0.2
"Enköping","2 rum och kök","2024",1221,8,0.7
"Enköping","3 rum och kök","2019",884,5,0.6
"Enköping","3 rum och kök","2021",884,1,0.1
"Enköping","3 rum och kök","2024",884,11,1.2
"Enköping","4 rum och kök","2019",246,1,0.4
"Enköping","4 rum och kök","2021",246,0,0
"Enköping","4 rum och kök","2024",246,0,0
"Enköping","5 eller flera rum och kök","2019",82,0,0
"Enköping","5 eller flera rum och kök","2021",82,0,0
"Enköping","5 eller flera rum och kök","2024",82,0,0
"Enköping","övriga","2019",0,0,0
"Enköping","övriga","2021",0,0,0
"Enköping","övriga","2024",0,0,0
"Enköping","totalt","2019",2799,12,0.4
"Enköping","totalt","2021",2799,5,0.2
"Enköping","totalt","2024",2799,30,1.1
"Östhammar","1 rum och kök","2019",267,0,0
"Östhammar","1 rum och kök","2021",267,0,0
"Östhammar","1 rum och kök","2024",275,1,0.4
"Östhammar","2 rum och kök","2019",820,2,0.2
"Östhammar","2 rum och kök","2021",820,4,0.5
"Östhammar","2 rum och kök","2024",830,1,0.1
"Östhammar","3 rum och kök","2019",493,0,0
"Östhammar","3 rum och kök","2021",493,0,0
"Östhammar","3 rum och kök","2024",495,0,0
"Östhammar","4 rum och kök","2019",141,0,0
"Östhammar","4 rum och kök","2021",141,0,0
"Östhammar","4 rum och kök","2024",141,0,0
"Östhammar","5 eller flera rum och kök","2019",0,0,0
"Östhammar","5 eller flera rum och kök","2021",0,0,0
"Östhammar","5 eller flera rum och kök","2024",0,0,0
"Östhammar","övriga","2019",94,0,0
"Östhammar","övriga","2021",94,0,0
"Östhammar","övriga","2024",94,0,0
"Östhammar","totalt","2019",1815,2,0.1
"Östhammar","totalt","2021",1815,4,0.2
"Östhammar","totalt","2024",1835,2,0.1
