"region","ålder","år","Folkmängd"
"Knivsta","67 år","2006",106
"Knivsta","68 år","2006",77
"Knivsta","69 år","2006",88
"Knivsta","70 år","2006",82
"Knivsta","71 år","2006",68
"Knivsta","72 år","2006",68
"Knivsta","73 år","2006",56
"Knivsta","74 år","2006",56
"Knivsta","75 år","2006",57
"Knivsta","76 år","2006",46
"Knivsta","77 år","2006",56
"Knivsta","78 år","2006",57
"Knivsta","79 år","2006",61
"Knivsta","80 år","2006",55
"Knivsta","81 år","2006",39
"Knivsta","82 år","2006",33
"Knivsta","83 år","2006",36
"Knivsta","84 år","2006",32
"Knivsta","85 år","2006",31
"Knivsta","86 år","2006",22
"Knivsta","87 år","2006",21
"Knivsta","88 år","2006",14
"Knivsta","89 år","2006",17
"Knivsta","90 år","2006",9
"Knivsta","91 år","2006",12
"Knivsta","92 år","2006",9
"Knivsta","93 år","2006",7
"Knivsta","94 år","2006",8
"Knivsta","95 år","2006",5
"Knivsta","96 år","2006",0
"Knivsta","97 år","2006",2
"Knivsta","98 år","2006",1
"Knivsta","99 år","2006",3
"Knivsta","100+ år","2006",0
"Heby","20 år","2006",167
"Heby","21 år","2006",145
"Heby","22 år","2006",128
"Heby","23 år","2006",140
"Heby","24 år","2006",109
"Heby","25 år","2006",114
"Heby","26 år","2006",102
"Heby","27 år","2006",98
"Heby","28 år","2006",115
"Heby","29 år","2006",97
"Heby","30 år","2006",105
"Heby","31 år","2006",117
"Heby","32 år","2006",139
"Heby","33 år","2006",114
"Heby","34 år","2006",139
"Heby","35 år","2006",158
"Heby","36 år","2006",135
"Heby","37 år","2006",150
"Heby","38 år","2006",166
"Heby","39 år","2006",174
"Heby","40 år","2006",208
"Heby","41 år","2006",165
"Heby","42 år","2006",206
"Heby","43 år","2006",193
"Heby","44 år","2006",190
"Heby","45 år","2006",191
"Heby","46 år","2006",164
"Heby","47 år","2006",222
"Heby","48 år","2006",180
"Heby","49 år","2006",204
"Heby","50 år","2006",202
"Heby","51 år","2006",204
"Heby","52 år","2006",162
"Heby","53 år","2006",185
"Heby","54 år","2006",183
"Heby","55 år","2006",175
"Heby","56 år","2006",207
"Heby","57 år","2006",188
"Heby","58 år","2006",200
"Heby","59 år","2006",199
"Heby","60 år","2006",200
"Heby","61 år","2006",187
"Heby","62 år","2006",176
"Heby","63 år","2006",176
"Heby","64 år","2006",172
"Heby","65 år","2006",171
"Heby","66 år","2006",152
"Heby","67 år","2006",145
"Heby","68 år","2006",161
"Heby","69 år","2006",138
"Heby","70 år","2006",123
"Heby","71 år","2006",128
"Heby","72 år","2006",121
"Heby","73 år","2006",127
"Heby","74 år","2006",129
"Heby","75 år","2006",102
"Heby","76 år","2006",114
"Heby","77 år","2006",110
"Heby","78 år","2006",99
"Heby","79 år","2006",107
"Heby","80 år","2006",101
"Heby","81 år","2006",102
"Heby","82 år","2006",75
"Heby","83 år","2006",75
"Heby","84 år","2006",76
"Heby","85 år","2006",82
"Heby","86 år","2006",73
"Heby","87 år","2006",57
"Heby","88 år","2006",44
"Heby","89 år","2006",32
"Heby","90 år","2006",21
"Heby","91 år","2006",23
"Heby","92 år","2006",15
"Heby","93 år","2006",18
"Heby","94 år","2006",12
"Heby","95 år","2006",6
"Heby","96 år","2006",8
"Heby","97 år","2006",2
"Heby","98 år","2006",2
"Heby","99 år","2006",1
"Heby","100+ år","2006",1
"Tierp","20 år","2006",241
"Tierp","21 år","2006",197
"Tierp","22 år","2006",204
"Tierp","23 år","2006",171
"Tierp","24 år","2006",176
"Tierp","25 år","2006",160
"Tierp","26 år","2006",165
"Tierp","27 år","2006",168
"Tierp","28 år","2006",141
"Tierp","29 år","2006",171
"Tierp","30 år","2006",180
"Tierp","31 år","2006",201
"Tierp","32 år","2006",231
"Tierp","33 år","2006",224
"Tierp","34 år","2006",231
"Tierp","35 år","2006",251
"Tierp","36 år","2006",264
"Tierp","37 år","2006",238
"Tierp","38 år","2006",283
"Tierp","39 år","2006",265
"Tierp","40 år","2006",277
"Tierp","41 år","2006",293
"Tierp","42 år","2006",307
"Tierp","43 år","2006",272
"Tierp","44 år","2006",244
"Tierp","45 år","2006",246
"Tierp","46 år","2006",236
"Tierp","47 år","2006",262
"Tierp","48 år","2006",285
"Tierp","49 år","2006",263
"Tierp","50 år","2006",267
"Tierp","51 år","2006",276
"Tierp","52 år","2006",249
"Tierp","53 år","2006",241
"Tierp","54 år","2006",247
"Tierp","55 år","2006",270
"Tierp","56 år","2006",251
"Tierp","57 år","2006",290
"Tierp","58 år","2006",296
"Tierp","59 år","2006",314
"Tierp","60 år","2006",322
"Tierp","61 år","2006",334
"Tierp","62 år","2006",298
"Tierp","63 år","2006",251
"Tierp","64 år","2006",270
"Tierp","65 år","2006",233
"Tierp","66 år","2006",207
"Tierp","67 år","2006",222
"Tierp","68 år","2006",217
"Tierp","69 år","2006",178
"Tierp","70 år","2006",173
"Tierp","71 år","2006",196
"Tierp","72 år","2006",156
"Tierp","73 år","2006",192
"Tierp","74 år","2006",181
"Tierp","75 år","2006",176
"Tierp","76 år","2006",188
"Tierp","77 år","2006",164
"Tierp","78 år","2006",177
"Tierp","79 år","2006",151
"Tierp","80 år","2006",154
"Tierp","81 år","2006",139
"Tierp","82 år","2006",126
"Tierp","83 år","2006",152
"Tierp","84 år","2006",107
"Tierp","85 år","2006",113
"Tierp","86 år","2006",113
"Tierp","87 år","2006",82
"Tierp","88 år","2006",71
"Tierp","89 år","2006",64
"Tierp","90 år","2006",53
"Tierp","91 år","2006",36
"Tierp","92 år","2006",31
"Tierp","93 år","2006",26
"Tierp","94 år","2006",21
"Tierp","95 år","2006",8
"Tierp","96 år","2006",17
"Tierp","97 år","2006",6
"Tierp","98 år","2006",4
"Tierp","99 år","2006",3
"Tierp","100+ år","2006",5
"Uppsala","20 år","2006",2942
"Uppsala","21 år","2006",3452
"Uppsala","22 år","2006",3372
"Uppsala","23 år","2006",3467
"Uppsala","24 år","2006",3587
"Uppsala","25 år","2006",3491
"Uppsala","26 år","2006",3473
"Uppsala","27 år","2006",3135
"Uppsala","28 år","2006",2927
"Uppsala","29 år","2006",2936
"Uppsala","30 år","2006",2822
"Uppsala","31 år","2006",2815
"Uppsala","32 år","2006",2806
"Uppsala","33 år","2006",2719
"Uppsala","34 år","2006",2628
"Uppsala","35 år","2006",2653
"Uppsala","36 år","2006",2361
"Uppsala","37 år","2006",2421
"Uppsala","38 år","2006",2431
"Uppsala","39 år","2006",2531
"Uppsala","40 år","2006",2587
"Uppsala","41 år","2006",2593
"Uppsala","42 år","2006",2580
"Uppsala","43 år","2006",2479
"Uppsala","44 år","2006",2237
"Uppsala","45 år","2006",2229
"Uppsala","46 år","2006",2175
"Uppsala","47 år","2006",2157
"Uppsala","48 år","2006",2238
"Uppsala","49 år","2006",2319
"Uppsala","50 år","2006",2405
"Uppsala","51 år","2006",2203
"Uppsala","52 år","2006",2297
"Uppsala","53 år","2006",2273
"Uppsala","54 år","2006",2270
"Uppsala","55 år","2006",2217
"Uppsala","56 år","2006",2302
"Uppsala","57 år","2006",2337
"Uppsala","58 år","2006",2470
"Uppsala","59 år","2006",2441
"Uppsala","60 år","2006",2422
"Uppsala","61 år","2006",2465
"Uppsala","62 år","2006",2339
"Uppsala","63 år","2006",2060
"Uppsala","64 år","2006",1882
"Uppsala","65 år","2006",1545
"Uppsala","66 år","2006",1435
"Uppsala","67 år","2006",1457
"Uppsala","68 år","2006",1359
"Uppsala","69 år","2006",1228
"Uppsala","70 år","2006",1209
"Uppsala","71 år","2006",1085
"Uppsala","72 år","2006",1053
"Uppsala","73 år","2006",934
"Uppsala","74 år","2006",992
"Uppsala","75 år","2006",1017
"Uppsala","76 år","2006",965
"Uppsala","77 år","2006",941
"Uppsala","78 år","2006",933
"Uppsala","79 år","2006",872
"Uppsala","80 år","2006",885
"Uppsala","81 år","2006",841
"Uppsala","82 år","2006",797
"Uppsala","83 år","2006",733
"Uppsala","84 år","2006",698
"Uppsala","85 år","2006",683
"Uppsala","86 år","2006",658
"Uppsala","87 år","2006",504
"Uppsala","88 år","2006",421
"Uppsala","89 år","2006",326
"Uppsala","90 år","2006",327
"Uppsala","91 år","2006",236
"Uppsala","92 år","2006",210
"Uppsala","93 år","2006",160
"Uppsala","94 år","2006",120
"Uppsala","95 år","2006",102
"Uppsala","96 år","2006",72
"Uppsala","97 år","2006",43
"Uppsala","98 år","2006",33
"Uppsala","99 år","2006",17
"Uppsala","100+ år","2006",24
"Enköping","20 år","2006",488
"Enköping","21 år","2006",449
"Enköping","22 år","2006",360
"Enköping","23 år","2006",354
"Enköping","24 år","2006",320
"Enköping","25 år","2006",321
"Enköping","26 år","2006",366
"Enköping","27 år","2006",336
"Enköping","28 år","2006",326
"Enköping","29 år","2006",341
"Enköping","30 år","2006",356
"Enköping","31 år","2006",389
"Enköping","32 år","2006",460
"Enköping","33 år","2006",467
"Enköping","34 år","2006",544
"Enköping","35 år","2006",581
"Enköping","36 år","2006",508
"Enköping","37 år","2006",534
"Enköping","38 år","2006",538
"Enköping","39 år","2006",619
"Enköping","40 år","2006",529
"Enköping","41 år","2006",607
"Enköping","42 år","2006",591
"Enköping","43 år","2006",544
"Enköping","44 år","2006",534
"Enköping","45 år","2006",522
"Enköping","46 år","2006",493
"Enköping","47 år","2006",526
"Enköping","48 år","2006",522
"Enköping","49 år","2006",498
"Enköping","50 år","2006",522
"Enköping","51 år","2006",491
"Enköping","52 år","2006",491
"Enköping","53 år","2006",486
"Enköping","54 år","2006",491
"Enköping","55 år","2006",445
"Enköping","56 år","2006",527
"Enköping","57 år","2006",585
"Enköping","58 år","2006",547
"Enköping","59 år","2006",630
"Enköping","60 år","2006",576
"Enköping","61 år","2006",576
"Enköping","62 år","2006",568
"Enköping","63 år","2006",503
"Enköping","64 år","2006",489
"Enköping","65 år","2006",429
"Enköping","66 år","2006",397
"Enköping","67 år","2006",382
"Enköping","68 år","2006",371
"Enköping","69 år","2006",354
"Enköping","70 år","2006",303
"Enköping","71 år","2006",315
"Enköping","72 år","2006",307
"Enköping","73 år","2006",274
"Enköping","74 år","2006",281
"Enköping","75 år","2006",293
"Enköping","76 år","2006",232
"Enköping","77 år","2006",267
"Enköping","78 år","2006",229
"Enköping","79 år","2006",237
"Enköping","80 år","2006",233
"Enköping","81 år","2006",217
"Enköping","82 år","2006",223
"Enköping","83 år","2006",214
"Enköping","84 år","2006",183
"Enköping","85 år","2006",190
"Enköping","86 år","2006",157
"Enköping","87 år","2006",129
"Enköping","88 år","2006",109
"Enköping","89 år","2006",102
"Enköping","90 år","2006",80
"Enköping","91 år","2006",74
"Enköping","92 år","2006",41
"Enköping","93 år","2006",48
"Enköping","94 år","2006",35
"Enköping","95 år","2006",16
"Enköping","96 år","2006",16
"Enköping","97 år","2006",13
"Enköping","98 år","2006",10
"Enköping","99 år","2006",4
"Enköping","100+ år","2006",11
"Östhammar","20 år","2006",243
"Östhammar","21 år","2006",257
"Östhammar","22 år","2006",179
"Östhammar","23 år","2006",175
"Östhammar","24 år","2006",172
"Östhammar","25 år","2006",166
"Östhammar","26 år","2006",174
"Östhammar","27 år","2006",191
"Östhammar","28 år","2006",150
"Östhammar","29 år","2006",167
"Östhammar","30 år","2006",194
"Östhammar","31 år","2006",199
"Östhammar","32 år","2006",196
"Östhammar","33 år","2006",218
"Östhammar","34 år","2006",233
"Östhammar","35 år","2006",253
"Östhammar","36 år","2006",246
"Östhammar","37 år","2006",272
"Östhammar","38 år","2006",269
"Östhammar","39 år","2006",290
"Östhammar","40 år","2006",266
"Östhammar","41 år","2006",278
"Östhammar","42 år","2006",296
"Östhammar","43 år","2006",290
"Östhammar","44 år","2006",301
"Östhammar","45 år","2006",273
"Östhammar","46 år","2006",278
"Östhammar","47 år","2006",277
"Östhammar","48 år","2006",281
"Östhammar","49 år","2006",326
"Östhammar","50 år","2006",290
"Östhammar","51 år","2006",301
"Östhammar","52 år","2006",274
"Östhammar","53 år","2006",304
"Östhammar","54 år","2006",293
"Östhammar","55 år","2006",315
"Östhammar","56 år","2006",304
"Östhammar","57 år","2006",392
"Östhammar","58 år","2006",374
"Östhammar","59 år","2006",351
"Östhammar","60 år","2006",344
"Östhammar","61 år","2006",330
"Östhammar","62 år","2006",336
"Östhammar","63 år","2006",353
"Östhammar","64 år","2006",282
"Östhammar","65 år","2006",256
"Östhammar","66 år","2006",241
"Östhammar","67 år","2006",260
"Östhammar","68 år","2006",229
"Östhammar","69 år","2006",225
"Östhammar","70 år","2006",221
"Östhammar","71 år","2006",193
"Östhammar","72 år","2006",199
"Östhammar","73 år","2006",186
"Östhammar","74 år","2006",174
"Östhammar","75 år","2006",177
"Östhammar","76 år","2006",186
"Östhammar","77 år","2006",168
"Östhammar","78 år","2006",160
"Östhammar","79 år","2006",157
"Östhammar","80 år","2006",146
"Östhammar","81 år","2006",146
"Östhammar","82 år","2006",142
"Östhammar","83 år","2006",118
"Östhammar","84 år","2006",121
"Östhammar","85 år","2006",123
"Östhammar","86 år","2006",93
"Östhammar","87 år","2006",83
"Östhammar","88 år","2006",60
"Östhammar","89 år","2006",58
"Östhammar","90 år","2006",56
"Östhammar","91 år","2006",36
"Östhammar","92 år","2006",31
"Östhammar","93 år","2006",20
"Östhammar","94 år","2006",10
"Östhammar","95 år","2006",9
"Östhammar","96 år","2006",7
"Östhammar","97 år","2006",10
"Östhammar","98 år","2006",5
"Östhammar","99 år","2006",4
"Östhammar","100+ år","2006",7
